Card_Type_Code,Card_Type_Full_Name,Issuing_Bank,Card_Number,Card_Holders_Name,CVV_CVV2,Issue_Date,Expiry_Date,Billing_Date,Card_PIN,Credit_Limit
VI,Visa,Barclays,1800031518142638,Miller Ritchie,440,06/2008,07/2012,4,5837,721702
MT,Maestro,Wells Fargo,622925185198757,Leora Little,738,08/2004,02/2009,14,4211,969083
MC,Mastercard,Chase,63339025115979,Reva Kemmer,948,03/2002,06/2006,8,1663,574374
MT,Maestro,U.S. Bancorp,4186420626247579,Dino Barton,181,07/2000,05/2004,24,1866,975811
MC,Mastercard,Capital One,6447914084016344,Mary Erdman,6406,06/2013,11/2017,24,3543,169040
AX,American Express,American Express,6376099272776035,Gonzalo Thompson,633,03/2014,08/2018,16,3197,644439
HC,Hipercard,Capital One,626009543349026,Brendon Shanahan,985,09/2014,01/2019,26,1086,357548
EO,Elo,Barclays,6062829548674401,Adah Wunsch,602,09/2006,02/2010,2,5113,873883
DS,Discover,Discover,373903760881478,Justice Lubowitz,5383,03/2004,12/2008,20,5320,928176
HR,Hiper,Barclays,6375688557441058,Dudley Wolff,927,07/2015,05/2020,25,8076,189568
MC,Mastercard,Chase,39555144914783,Helga Raynor,415,04/2008,11/2012,22,4646,9883
HC,Hipercard,GE Capital,493698723887233,Antonetta Terry,134,08/2003,07/2007,25,6550,720558
EO,Elo,Chase,6375998888385761,Dimitri Jacobs,299,06/2000,07/2004,7,9686,810510
VI,Visa,Bank of America,6062829451350049,Stone Funk,591,09/2000,10/2004,26,9136,39278
AX,American Express,American Express,6062822670161164,Alberta Huel,710,02/2000,02/2005,15,6540,582439
AX,American Express,American Express,6370954221006858,Johathan Rogahn,652,07/2020,08/2024,12,1430,816407
DC,Diners Club,Diners Club International,4644664629902666,Casimir Murray,194,09/2003,12/2007,5,5479,53756
EO,Elo,GE Capital,6220082847515208794,Carleton Breitenberg,503,08/2000,06/2005,12,7201,150718
UP,UnionPay,Wells Fargo,6447715129224177,Godfrey Hintz,380,01/2002,11/2006,25,7808,940930
AX,American Express,American Express,3589808118868495,Hazle Kunde,589,06/2008,04/2013,15,6058,837001
AX,American Express,American Express,343420815807629,Lila Zemlak,161,09/2013,04/2017,7,8676,751765
AX,American Express,American Express,349566224775411,Phyllis Schiller,439,12/2007,01/2011,26,3861,566048
JC,JCB,Japan Credit Bureau,375416538514451,Marielle Rempel,660,02/2019,04/2022,1,4959,901991
MT,Maestro,Capital One,6277817952784177563,Geovanni Williamson,970,07/2018,06/2022,1,2826,624779
HC,Hipercard,Chase,4839257905877333,Jason Osinski,677,05/2012,10/2015,23,5541,89164
DS,Discover,Discover,372400479208839,Georgiana Flatley,381,01/2012,09/2015,23,3864,523717
VI,Visa,Capital One,1800091231591362,Roselyn Wuckert,921,08/2001,07/2006,6,6500,460217
HC,Hipercard,Wells Fargo,4552111342331799,Seth Schmeler,299,09/2001,09/2005,24,4949,424662
VI,Visa,Barclays,4237728915577814,Cayla Reynolds,182,07/2013,02/2018,7,8436,793607
HC,Hipercard,U.S. Bancorp,6062823718948422,Reece Emmerich,317,05/2012,08/2016,22,3317,918949
HC,Hipercard,Bank of America,3058082517594514,Eldora Blanda,570,11/2008,04/2012,7,7432,888914
VI,Visa,Chase,6062821013965489,Destinee Anderson,655,07/2001,05/2005,25,1586,67456
DS,Discover,Discover,6565470504783159,Jacky Swift,614,03/2002,04/2005,3,9658,47835
EO,Elo,Barclays,358952503409237727,Lourdes Walter,597,07/2017,11/2021,13,2298,270943
MC,Mastercard,Chase,3008628265112460,Milford Doyle,955,01/2018,05/2022,26,9404,632349
UP,UnionPay,Barclays,2131574175873548,Cara Larkin,311,01/2003,09/2006,27,4353,636588
EO,Elo,Wells Fargo,2131016609196542,Bonnie Daniel,527,06/2017,10/2021,12,9281,999614
JC,JCB,Japan Credit Bureau,2299386575809297,Ruthe Veum,592,06/2017,12/2021,27,2995,334361
DS,Discover,Discover,6496121372105928478,Mandy Boyle,947,01/2019,08/2022,25,7514,365475
VI,Visa,Chase,3589895874544501419,Jefferey Goodwin,695,02/2011,08/2015,1,9180,672516
JC,JCB,Japan Credit Bureau,30535291906534,Randi Homenick,228,07/2015,07/2019,1,7776,297977
HC,Hipercard,Bank of America,2606959792464290,Claudine OReilly,650,11/2017,06/2022,9,6663,504885
HC,Hipercard,GE Capital,508999505200499765,Neil Morissette,282,12/2020,09/2025,26,6548,769870
MT,Maestro,U.S. Bancorp,39201296432841,Emile Pfannerstill,5500,10/2011,07/2015,8,9701,481709
MT,Maestro,Capital One,5643701326468621092,Elda Beier,937,12/2019,07/2023,11,9459,139419
JC,JCB,Japan Credit Bureau,6062828596796439,Syble Homenick,489,10/2011,08/2015,4,8001,833098
HC,Hipercard,Capital One,6062826899060453,Tomasa Walter,2963,03/2015,04/2019,16,9748,158820
HC,Hipercard,Capital One,347534966384661,Gianni Kihn,189,11/2015,05/2019,13,4008,28381
HC,Hipercard,U.S. Bancorp,62100570765027,Camryn Altenwerth,353,08/2003,11/2006,7,7229,103490
UP,UnionPay,Barclays,5089996688993024278,Filiberto Kessler,678,10/2001,01/2005,25,4728,668178
JC,JCB,Japan Credit Bureau,6583330356398787,Grayce Bednar,662,02/2000,07/2004,14,1690,925719
HR,Hiper,U.S. Bancorp,4456532205323267,Carmella Legros,919,08/2005,08/2010,8,3781,666613
DS,Discover,Discover,6062821637018434,Ulices Jakubowski,875,03/2017,09/2021,17,5794,219439
DC,Diners Club,Diners Club International,62778174611944789,Barney Ernser,751,12/2005,01/2010,22,4058,156400
MC,Mastercard,Bank of America,6376093291590964,Stephon Schowalter,990,02/2018,02/2023,16,9153,397765
DS,Discover,Discover,6375680334660860,Kaleigh Fadel,609,04/2013,09/2016,26,7718,791923
AX,American Express,American Express,377527557154231,Eli Senger,381,09/2006,10/2010,2,5049,372189
MC,Mastercard,Barclays,5568353838081723,Genoveva Lockman,736,07/2006,10/2009,17,8894,230180
VI,Visa,Capital One,671863792579181856,Oren Gleason,224,10/2012,10/2015,4,1456,428569
HC,Hipercard,Capital One,2231851194292515,Alejandra Bartoletti,954,09/2018,11/2021,15,8453,598471
DC,Diners Club,Diners Club International,343319085069508,Angela Shanahan,341,07/2006,05/2010,19,3144,768347
EO,Elo,U.S. Bancorp,4935363255073839,Bethany Windler,646,05/2017,11/2020,12,9530,345890
DC,Diners Club,Diners Club International,6062827638137339,Gunner Becker,210,10/2019,06/2024,9,9869,29892
HR,Hiper,U.S. Bancorp,6507276564011253,Kailee Weimann,290,12/2017,11/2022,7,1675,740944
DC,Diners Club,Diners Club International,2368912435281546,Cole Wuckert,4786,07/2003,05/2008,10,9433,703174
JC,JCB,Japan Credit Bureau,3626064716709237,Scotty Moen,6607,03/2012,07/2016,16,8882,781967
MC,Mastercard,Wells Fargo,5103208314616347,Harmon Hansen,394,09/2008,01/2013,15,2836,747909
DS,Discover,Discover,4383056258685545,Mariane Stroman,560,04/2015,10/2018,18,4492,798599
DC,Diners Club,Diners Club International,6503923050367221641,Jewell Conn,224,08/2014,11/2018,5,2825,233469
HC,Hipercard,Bank of America,3880485787926189,Shyann Rowe,101,09/2006,02/2011,7,3513,946836
MC,Mastercard,GE Capital,30019491343426,Kimberly Wilderman,538,05/2012,08/2015,16,1773,768066
DC,Diners Club,Diners Club International,5000003182494818,Ellen Sauer,681,07/2013,01/2018,14,9381,766556
AX,American Express,American Express,5152217767616639,Sam Kreiger,220,11/2010,11/2015,12,5897,783474
AX,American Express,American Express,6375682547470673,Napoleon Gulgowski,155,05/2017,12/2021,15,3539,962611
JC,JCB,Japan Credit Bureau,2709628584226615,Joannie Buckridge,881,08/2000,04/2004,2,9074,873806
AX,American Express,American Express,3528327465199648,Brandi Cummings,688,12/2002,02/2007,20,5284,829193
MC,Mastercard,Wells Fargo,3009176034282025019,Bret Schuppe,849,06/2000,08/2004,9,5894,539290
DC,Diners Club,Diners Club International,21311978443338436,Shanny Predovic,647,02/2000,04/2004,8,6257,875392
AX,American Express,American Express,6277008597196204791,Braxton Ward,927,09/2003,09/2007,16,2246,671470
MT,Maestro,Bank of America,6376099226278609,Augustine Tillman,359,12/2002,05/2007,26,2815,20115
DC,Diners Club,Diners Club International,371823339647634,Aliyah Hickle,389,11/2004,10/2008,20,9006,590436
HC,Hipercard,GE Capital,36687845589565,Billy Klein,131,09/2007,10/2011,17,4644,938311
AX,American Express,American Express,6495301501452050643,Wilson Mohr,950,08/2004,01/2009,27,2920,901215
HR,Hiper,Capital One,6375688252826280,Pietro McGlynn,322,04/2006,12/2009,6,3302,993231
VI,Visa,Wells Fargo,5041755259865391,Augustine Goyette,536,02/2019,06/2022,11,2018,743076
DS,Discover,Discover,2720826621539959,Alexandrine Howell,539,04/2018,03/2022,13,3724,79399
EO,Elo,Barclays,30529513181679,Calista Eichmann,525,10/2011,02/2016,8,4279,511598
VI,Visa,Capital One,6441343929860897129,Gus Bergstrom,1655,01/2002,01/2006,27,7643,845066
DS,Discover,Discover,36210687125958,Jaron Kihn,842,08/2006,04/2010,25,4398,836707
HR,Hiper,Capital One,50899994188898,Tressie Gleichner,725,10/2018,04/2023,2,8925,943236
DC,Diners Club,Diners Club International,18002287288854360,Stella McKenzie,2262,01/2020,02/2024,24,5691,33558
HR,Hiper,Bank of America,378307194972587,Mariela Keebler,123,01/2000,10/2003,9,6048,80670
MT,Maestro,Barclays,6011960281794783,Krystina Veum,149,01/2014,12/2018,7,6511,869900
HC,Hipercard,Barclays,4515004182382889,Guadalupe Lesch,468,01/2015,03/2018,17,7939,487395
MT,Maestro,Chase,6375996022236775,Ava Considine,190,06/2010,05/2014,18,1057,568614
EO,Elo,Chase,8131856849117705608,Emmalee Lueilwitz,798,10/2003,02/2007,17,2494,995568
VI,Visa,Capital One,6375684810582150,Jaden Bergnaum,517,02/2005,03/2009,4,7233,672891
UP,UnionPay,GE Capital,346995692083854,Julian Kirlin,860,05/2013,11/2017,17,3996,182898
VI,Visa,Wells Fargo,6370958723161491,Christiana Muller,491,11/2012,06/2017,11,3709,760544
DC,Diners Club,Diners Club International,349177726601095,Rolando Thompson,665,04/2016,10/2020,13,9197,132977
JC,JCB,Japan Credit Bureau,5121512591917031,Mackenzie Nader,340,12/2015,01/2019,13,3336,59137
JC,JCB,Japan Credit Bureau,628234102131973,Lavon Harvey,682,04/2004,02/2009,24,6594,787520
MC,Mastercard,Chase,6370959063922419,Jordon Bauch,629,05/2016,07/2019,2,8004,896701
UP,UnionPay,Capital One,4219083455424957,Josefina Lakin,434,12/2020,07/2025,26,9586,403524
VI,Visa,Capital One,6062823142780359,Stone Kilback,787,06/2003,05/2007,2,7934,116939
JC,JCB,Japan Credit Bureau,2221776119937021,Devin Langworth,558,05/2020,07/2023,2,6364,499905
MC,Mastercard,Barclays,6011194508572166,Ebba Kozey,910,05/2008,09/2011,3,5520,220851
DS,Discover,Discover,6516528237267319,Earl Marks,976,01/2002,01/2006,6,1110,233911
MT,Maestro,Wells Fargo,4440227151690764,Bradly Kunde,170,09/2013,08/2017,16,6457,784955
DC,Diners Club,Diners Club International,4534400290221877,Haven Hintz,282,02/2019,03/2022,5,9168,934394
MT,Maestro,Chase,6495200020175777459,Royce Herman,994,12/2018,06/2023,18,1011,538433
HR,Hiper,Chase,6375995491899329,Jaren Pacocha,816,06/2020,07/2023,26,1686,52851
HC,Hipercard,Bank of America,4185774565269908,Jeremie Cummings,846,04/2003,01/2007,18,1371,889493
DS,Discover,Discover,6495251439310914157,Tania Ruecker,237,03/2015,09/2019,3,9629,653212
VI,Visa,Bank of America,6375687374380242,Caitlyn Hodkiewicz,125,08/2019,12/2023,21,1751,665833
EO,Elo,Wells Fargo,5596894098628949,Sigrid Herman,346,12/2020,03/2024,13,2072,748041
UP,UnionPay,Wells Fargo,6062826597371301,Johann Romaguera,508,11/2018,05/2023,23,2433,686538
DC,Diners Club,Diners Club International,3050888436990543329,Cassandre Nienow,567,10/2002,01/2006,24,5254,480429
DC,Diners Club,Diners Club International,2131772908015409,Marjory Conroy,163,12/2001,04/2006,14,3171,213693
MC,Mastercard,Wells Fargo,4880002263693635,Margaret Little,659,01/2001,07/2005,12,7767,64200
UP,UnionPay,Wells Fargo,6376129594914624,Brennon Smitham,349,11/2003,01/2008,1,3335,521808
AX,American Express,American Express,6062820755094201,Jayme Ondricka,696,08/2009,11/2013,18,7296,871074
VI,Visa,Chase,6375998239882797,Fatima Lebsack,932,06/2020,10/2023,16,6590,214093
HC,Hipercard,Chase,6440130601092340736,Reina Gottlieb,949,02/2003,03/2007,14,3876,900043
AX,American Express,American Express,2229785368277791,Candice Harris,843,11/2013,09/2018,24,1563,52932
HR,Hiper,Barclays,4072861209262138,Werner White,918,09/2007,05/2011,27,4549,744373
HR,Hiper,Capital One,6442083019242159208,Vladimir Hansen,265,12/2018,04/2022,5,4172,640868
JC,JCB,Japan Credit Bureau,65055616679359,Kane Weber,253,05/2010,12/2014,23,6291,980845
UP,UnionPay,Barclays,6375682897756275,Griffin Pfannerstill,328,11/2006,08/2010,24,6572,473355
MC,Mastercard,Wells Fargo,6504207670141448,Ramiro Leffler,419,01/2003,12/2007,19,8433,934577
EO,Elo,Barclays,376446165707267,Greg Tillman,365,12/2014,05/2019,27,7405,414726
EO,Elo,GE Capital,3933656539913872779,Adele Heller,777,05/2007,04/2011,26,6650,11005
HR,Hiper,Barclays,81064470405950195,Clay Treutel,754,06/2014,12/2018,7,7394,599406
UP,UnionPay,U.S. Bancorp,3051366063171966118,Erick Koch,6922,04/2003,07/2006,11,6608,996803
HC,Hipercard,Wells Fargo,506779417716303,Milan Swift,469,02/2012,01/2017,4,7368,261971
EO,Elo,Capital One,6062828047396094,Lorna Stroman,719,05/2008,11/2012,7,2224,532154
EO,Elo,Capital One,2712659271854075,Soledad Bins,951,07/2001,06/2006,19,1846,574991
EO,Elo,Capital One,5129473433926171,Eugenia Beatty,7057,02/2001,06/2004,16,7857,239318
UP,UnionPay,Chase,5090006423199576,Casimir Jakubowski,692,10/2004,07/2009,20,5922,175116
DS,Discover,Discover,4701365472970582,Aurelie Mante,514,12/2017,01/2021,24,2932,600739
HR,Hiper,Bank of America,6207294418302190115,Quinten Smitham,543,10/2009,04/2014,5,5706,476649
DC,Diners Club,Diners Club International,4011795644683488,Caden Collins,969,12/2005,06/2009,24,7335,924076
DS,Discover,Discover,340419072392070,Jorge Kshlerin,903,12/2015,11/2019,5,9124,822962
EO,Elo,GE Capital,500000699922121,Carolyn King,168,12/2012,03/2016,1,3206,789936
MT,Maestro,Barclays,6444684535667452975,Ernestina Fritsch,581,06/2004,02/2009,19,4372,124411
MC,Mastercard,Capital One,4860368850652993,Demario Kshlerin,445,08/2014,09/2018,24,5383,623688
HR,Hiper,Chase,81760798185519,June Denesik,570,10/2009,10/2014,13,5554,50328
DC,Diners Club,Diners Club International,345112909047539,Nickolas Kunze,806,01/2011,05/2015,23,2098,939344
VI,Visa,Capital One,4780632654394475,Raphael Heathcote,117,03/2002,11/2006,11,6566,227252
EO,Elo,Capital One,6062827466748868,Myra Lemke,692,04/2013,12/2016,13,4585,882412
VI,Visa,Capital One,6011787570993033440,Liza Schumm,675,02/2011,11/2014,11,9030,707994
DC,Diners Club,Diners Club International,343451636580145,Burnice Kshlerin,605,04/2007,06/2010,6,6067,340681
UP,UnionPay,GE Capital,6376093809073339,Demarcus Schmitt,458,03/2011,08/2015,19,1721,64818
AX,American Express,American Express,36675296798132,Steve Bechtelar,101,11/2006,11/2011,5,5259,540280
DS,Discover,Discover,347649383735657,Pansy Harber,104,10/2008,06/2012,6,1300,660764
AX,American Express,American Express,4176088722209041,Hazle Collier,324,11/2004,03/2008,13,4068,139453
JC,JCB,Japan Credit Bureau,213161446600096183,Domenick Dare,315,12/2008,03/2013,7,1207,579548
AX,American Express,American Express,379714737948488,Jefferey Hayes,657,03/2017,10/2021,13,6761,567482
DC,Diners Club,Diners Club International,6564696618026713732,Karelle Cormier,926,05/2009,02/2014,14,2496,885827
HC,Hipercard,Bank of America,6200429195023270201,Torrance Carter,895,08/2019,06/2023,18,4361,272336
MT,Maestro,Chase,6011760200679572,Christy Carroll,672,08/2011,08/2014,8,4500,274812
JC,JCB,Japan Credit Bureau,695938744423826574,Alisha Balistreri,8780,09/2005,01/2010,19,4912,747127
DS,Discover,Discover,6062828175519061,Foster Aufderhar,3695,06/2018,12/2021,14,6192,564697
MC,Mastercard,Capital One,6505983028558884,Giovanna Sipes,634,03/2018,02/2023,12,9846,686437
VI,Visa,Wells Fargo,2131775998511658,Triston Roberts,515,06/2006,02/2010,22,3375,620022
HR,Hiper,GE Capital,3003914922247997,Mckayla Padberg,468,05/2000,05/2003,24,4305,919497
MT,Maestro,Chase,2700349227489366,Ted Rippin,481,03/2013,11/2016,25,8119,852817
VI,Visa,Wells Fargo,633037494679,Ova Price,766,08/2010,07/2015,4,9928,335770
EO,Elo,U.S. Bancorp,2131353318598682441,General Wolff,785,03/2003,12/2007,16,7288,901574
DS,Discover,Discover,6270724616908824528,Tyrese Nader,869,10/2005,11/2008,5,3735,498675
DC,Diners Club,Diners Club International,6516525816697049,Felicia Heller,337,04/2019,06/2022,11,2147,733573
MT,Maestro,Bank of America,6504053786388923,Kaelyn Huel,613,08/2018,04/2022,4,4289,400427
HR,Hiper,Wells Fargo,4240996841349294,Hal Haag,835,11/2011,08/2016,25,5582,321958
VI,Visa,Capital One,4236096591886938,Jennifer Hintz,735,10/2020,10/2025,8,8726,469062
HR,Hiper,Barclays,6370959657905234,Stevie Kling,5668,03/2010,09/2014,26,4320,146946
HC,Hipercard,Bank of America,35281088196823208,Elody Abernathy,350,11/2015,05/2019,3,9556,119065
DC,Diners Club,Diners Club International,3694056925937653028,Howard Gislason,789,03/2016,07/2019,23,4800,550754
DS,Discover,Discover,349571026654954,Gaetano Willms,331,10/2012,08/2016,3,4712,652835
HC,Hipercard,Wells Fargo,6062827947491708,Esmeralda Gleason,514,11/2019,09/2024,2,5032,718385
EO,Elo,GE Capital,4423240662079139,Demond Barrows,499,02/2016,07/2020,18,6403,389646
VI,Visa,Wells Fargo,6370951787432981,Josianne Conn,830,07/2013,11/2016,21,3681,731026
HR,Hiper,Capital One,6550520814771943,Rowland Wiegand,907,07/2014,04/2019,15,8532,614385
DC,Diners Club,Diners Club International,4912015392321441,Justice Pouros,240,12/2002,04/2006,3,4419,608456
VI,Visa,Capital One,3000089607931103199,Verona Smith,213,03/2020,02/2025,11,6632,82164
MC,Mastercard,Barclays,347969433147467,Cynthia Leuschke,998,12/2007,04/2011,25,5471,233431
VI,Visa,Wells Fargo,376223446043527,Grace Bashirian,687,03/2017,03/2022,19,1018,766541
AX,American Express,American Express,6504396247478985,Halle Jast,885,03/2000,10/2003,10,1484,875592
AX,American Express,American Express,81316183073202098,Wilma Franecki,825,07/2013,10/2016,24,8882,40168
DC,Diners Club,Diners Club International,6011003895093878,Jaleel Denesik,119,11/2009,08/2014,2,7859,791235
VI,Visa,GE Capital,6370959668659606,Ryleigh Gleichner,835,08/2000,11/2003,5,8738,692648
DS,Discover,Discover,6011899824181019,Lorenz Wunsch,418,12/2008,01/2012,25,2050,492125
EO,Elo,Wells Fargo,6376125110249057,Meghan Raynor,658,03/2006,02/2011,27,4423,901319
DS,Discover,Discover,6370953135733250,Reece Hyatt,357,03/2001,10/2005,20,6243,933249
VI,Visa,Barclays,3617916937181260203,Lauryn Hoppe,888,03/2015,09/2018,21,4583,707639
DS,Discover,Discover,3693039775560737,Mavis Rogahn,278,08/2016,04/2020,14,1834,815876
VI,Visa,Barclays,4514161427462255,Maxine Grant,572,10/2015,07/2019,10,2497,928568
UP,UnionPay,GE Capital,622005865645824394,Isaiah Damore,779,07/2010,11/2013,3,9333,993888
DS,Discover,Discover,21318967193439703,Idella Murazik,122,06/2017,05/2021,24,7552,600524
DS,Discover,Discover,621006135919129131,Ahmed Padberg,425,01/2001,09/2004,25,1935,787146
MT,Maestro,GE Capital,6011775894433123247,Antonia Frami,257,09/2008,08/2012,16,9010,567725
DC,Diners Club,Diners Club International,5133703937787438,Mose Schmitt,902,03/2014,03/2017,8,8500,819176
DS,Discover,Discover,4724495589565588,Dimitri Eichmann,333,03/2015,01/2020,15,1207,404583
JC,JCB,Japan Credit Bureau,67083479171424679,Aniyah Padberg,469,06/2015,01/2020,25,3787,84246
MT,Maestro,Bank of America,6561186554381504742,Grover Mills,865,11/2004,10/2008,1,8597,891618
JC,JCB,Japan Credit Bureau,6504058010243471,Doug OReilly,213,07/2010,04/2014,11,5583,385621
EO,Elo,GE Capital,6507278340855565,Deontae Lubowitz,936,09/2013,05/2017,13,6350,852420
DC,Diners Club,Diners Club International,6370958968779395,Kurt Gislason,122,06/2015,04/2020,24,5153,759318
AX,American Express,American Express,6494735189935431,Jessica Dare,435,05/2016,01/2020,6,7568,228211
HC,Hipercard,Chase,4011784899739690,Mallory Emmerich,384,08/2007,02/2012,12,5658,77333
MT,Maestro,Capital One,3589796615046256808,Maiya Paucek,639,11/2002,10/2006,13,5825,403794
UP,UnionPay,Wells Fargo,62770085079559,Kellie Paucek,983,09/2016,11/2019,14,7698,779756
MC,Mastercard,Barclays,2706671458640928,Noe Mertz,9320,12/2015,03/2019,2,9901,514950
MT,Maestro,U.S. Bancorp,6376091276300714,Alison Krajcik,954,05/2020,06/2024,6,4800,423428
VI,Visa,Bank of America,30084512202746,Lexus Ondricka,231,08/2020,08/2024,25,7737,987823
HR,Hiper,GE Capital,4443446867010854,Valerie Spencer,501,03/2016,05/2019,7,7050,104311
EO,Elo,U.S. Bancorp,6376126124475449,Magnolia Donnelly,4730,11/2017,08/2021,16,2541,539052
DS,Discover,Discover,67064482274921,Brooke Rodriguez,837,02/2010,06/2014,20,8266,138917
JC,JCB,Japan Credit Bureau,6549883999653490,Reina Gulgowski,550,10/2002,10/2006,9,9344,525992
AX,American Express,American Express,81101966103905253,Janiya Bergstrom,781,12/2003,11/2008,19,8221,334142
JC,JCB,Japan Credit Bureau,377348445278854,Shanna Ward,932,04/2002,10/2006,20,5058,494913
MC,Mastercard,Chase,5089991014828,Kenyon Boehm,320,12/2010,03/2014,8,5621,474431
MT,Maestro,Wells Fargo,377176615116129,Malika Moore,509,01/2012,01/2015,22,3877,833058
DS,Discover,Discover,4576319758418883,Aylin Wyman,794,07/2016,05/2020,12,3302,824689
UP,UnionPay,Bank of America,6375688926621844,Ivah Schiller,389,03/2008,03/2013,6,2083,877463
UP,UnionPay,Barclays,4011784531273991,Tom Hoppe,554,07/2011,02/2016,2,3737,787250
DS,Discover,Discover,4230526736228857,Grayce Schiller,812,05/2013,12/2016,9,4811,549155
HC,Hipercard,Bank of America,2229815795136730,Aisha Schowalter,8989,12/2015,07/2019,1,9645,266532
DS,Discover,Discover,6375997043247452,Marion Schneider,332,03/2015,06/2019,22,5153,189053
EO,Elo,Capital One,6011647411517286810,Jameson Harvey,713,01/2005,06/2009,27,3532,83421
UP,UnionPay,Chase,4345897821331308,Aliya Keeling,438,04/2013,06/2016,11,1862,986534
EO,Elo,Barclays,4601527395563114,Claude Mueller,789,09/2008,03/2012,2,8241,104238
JC,JCB,Japan Credit Bureau,6062827531998258,Hanna Cruickshank,487,08/2019,01/2023,9,6381,268617
VI,Visa,GE Capital,4537523003425308,Quincy Gutkowski,728,11/2016,06/2021,22,2836,592404
JC,JCB,Japan Credit Bureau,6507003587416958,Bradley Bosco,141,01/2011,12/2015,19,2249,460915
VI,Visa,Chase,6218735408111698386,Dahlia McKenzie,5475,04/2005,08/2009,22,9754,192799
MT,Maestro,Capital One,4475258076706771,Raymundo Turcotte,740,07/2006,08/2009,18,6253,48062
MT,Maestro,Capital One,2229616660791082,Dewitt Zboncak,567,11/2007,10/2011,10,1716,499985
HC,Hipercard,Wells Fargo,6218531693421122658,Hermann Gutkowski,371,09/2016,06/2021,25,2628,677913
HC,Hipercard,Capital One,38785533307395,Stan Torphy,550,01/2014,05/2017,8,3291,784980
MT,Maestro,Chase,371070138388321,Davon Wyman,349,01/2018,03/2021,7,2046,264974
VI,Visa,Wells Fargo,6062828357243944,Wilford Torp,644,04/2014,11/2018,24,7843,506194
MT,Maestro,Capital One,5117008535146528,Janis Tromp,502,12/2001,09/2005,27,6262,646203
AX,American Express,American Express,346224806440995,Caleigh Hirthe,452,11/2013,02/2017,6,1294,774464
JC,JCB,Japan Credit Bureau,39421267597444,Rozella Mayert,590,05/2004,06/2007,24,3617,657419
AX,American Express,American Express,2235796186641094,Rosemary Friesen,711,06/2002,09/2005,26,1574,307249
MC,Mastercard,U.S. Bancorp,6370950479453479,Van Wyman,536,07/2008,03/2013,27,2133,199975
VI,Visa,Bank of America,6541852976441649,Joannie Heathcote,3871,06/2010,08/2014,20,5068,391433
VI,Visa,Capital One,372042436742748,Geraldine Kuphal,333,03/2020,08/2023,21,8760,632471
AX,American Express,American Express,18009364999854535,Alize Grant,227,03/2002,10/2006,23,4250,738963
MC,Mastercard,Chase,622999249883407,Forrest Weber,634,08/2017,04/2022,7,5529,468387
MC,Mastercard,Barclays,3528906438284114,Electa Grimes,437,01/2001,02/2005,17,4410,612986
DC,Diners Club,Diners Club International,213180492498432392,Trey Howe,338,06/2011,06/2015,21,6495,761416
HR,Hiper,Bank of America,62777977186079,Josefina Funk,821,06/2015,04/2019,1,3400,382141
HR,Hiper,Chase,6011272486076093,Kamille Tremblay,271,07/2014,10/2018,7,6078,810726
AX,American Express,American Express,3528740653022325,Reta Schmidt,421,03/2016,01/2021,6,2207,468682
AX,American Express,American Express,6011065477977976,Carter Treutel,753,09/2016,04/2020,7,7345,338910
HR,Hiper,Wells Fargo,6509787133741640,Marjory Wisoky,798,05/2013,09/2017,23,6684,897784
DS,Discover,Discover,6011488566544769526,Hiram Kuhic,521,07/2008,10/2011,20,9629,852355
MC,Mastercard,Bank of America,6062825084156209,Nicola Beahan,764,04/2000,03/2004,18,9773,603928
VI,Visa,Capital One,6550216090506794,Viviane Hand,459,05/2007,09/2010,24,1187,645264
AX,American Express,American Express,3830547151043791,Tyrese Christiansen,3786,04/2019,04/2022,2,1785,528384
DS,Discover,Discover,345630762102596,Yadira Olson,139,09/2012,12/2015,14,8807,997218
HR,Hiper,Wells Fargo,6505988417699033,Litzy Leannon,492,09/2016,04/2021,7,1495,800590
DS,Discover,Discover,4828817384654686,Neva Treutel,826,02/2016,11/2019,16,4811,48439
DC,Diners Club,Diners Club International,6491704770655207,Dolly Mayer,174,05/2011,10/2015,20,2836,189221
VI,Visa,Bank of America,6491072057514118569,Trey Keebler,997,04/2007,02/2011,18,2135,625306
UP,UnionPay,Wells Fargo,5902126483316700219,Jose Greenholt,950,05/2013,11/2017,15,8023,68379
MT,Maestro,Wells Fargo,6062828735224848,Finn Leffler,102,06/2018,07/2021,5,4072,657021
UP,UnionPay,Chase,500000335781899,Zakary Pagac,5785,02/2008,12/2011,6,5920,48146
JC,JCB,Japan Credit Bureau,2720007391010360,Roy Hammes,613,03/2013,09/2017,21,9244,871523
UP,UnionPay,Wells Fargo,3991982460538890158,Cortney Trantow,746,08/2015,12/2018,14,8002,154533
JC,JCB,Japan Credit Bureau,3972511675339398917,Zaria Kohler,417,02/2008,04/2011,19,9304,566795
HC,Hipercard,Chase,378613617625169,Newton Hayes,6387,02/2012,09/2016,6,5300,147084
UP,UnionPay,Barclays,3528475110432863132,Pierre Heathcote,511,03/2011,11/2015,22,7404,482930
VI,Visa,Bank of America,18004189320942799,Lavern Davis,7553,08/2001,04/2005,17,9997,307110
HR,Hiper,U.S. Bancorp,2703709316543208,Zetta Lueilwitz,336,02/2000,07/2004,8,2113,275242
UP,UnionPay,Bank of America,6376123928087637,Lea Lakin,851,07/2015,10/2018,4,8587,983012
